,"CROP PRODUCTION & BASIC PROCESSING & LIVESTOCK","LAWYERS & LOBBYISTS","NONPROFIT INSTITUTIONS",ABORTION POLICY,ACCOUNTANTS,AGRICULTURAL SERVICES & PRODUCTS,AIR TRANSPORT,ANIMAL RIGHTS,ANTI-LABOR GROUPS,AUTOMOTIVE,"BANDS, ORCHESTRAS & OTHER LIVE MUSIC PRODUCTION",BANKS & LENDING INSTITUTIONS,"BEER, WINE & LIQUOR",BUILDING MATERIALS & EQUIPMENT,BUSINESS ASSOCIATIONS,BUSINESS SERVICES,CANDIDATE COMMITTEES,CHEMICAL & RELATED MANUFACTURING,CHRISTIAN CONSERVATIVE,CIVIL SERVANTS/PUBLIC OFFICIALS,CLERGY,COMMERCIAL BANKS,COMMERCIAL FISHING,COMPUTER EQUIPMENT & SERVICES,CONSERVATIVE POLICY ORGANIZATION,CONSTRUCTION SERVICES,CONSUMER GROUPS,CREDIT UNIONS,CROP PRODUCTION & BASIC PROCESSING & LIVESTOCK,DAIRY,DEFENSE AEROSPACE,DEFENSE ELECTRONICS,EDUCATION,ELDERLY/SOCIAL SECURITY,ELECTRIC UTILITIES,ELECTRONICS MANUFACTURING & SERVICES,EMPLOYER LISTED/CATEGORY UNKNOWN,ENVIRONMENTAL SERVICES & EQUIPMENT,FARM BUREAU,FINANCE & CREDIT COMPANIES,FOOD & BEVERAGE,FOOD PROCESSING & SALES,FORESTRY & FOREST PRODUCTS,GAMBLING & CASINOS,GAY/LESBIAN RIGHTS & ISSUES,GENERAL BUSINESS,GENERAL CONTRACTORS,GENERAL TRADE UNIONS,GUN CONTROL,HEALTH & WELFARE POLICY,HEALTH PROFESSIONALS,HEALTH SERVICES,HOME BUILDERS,HOSPITALS & NURSING HOMES,HUMAN RIGHTS,HUNTING,INSURANCE,INVESTMENT HOLDING COMPANIES,LAWYERS & LOBBYISTS,LEADERSHIP PACS,LIBERAL POLICY ORGANIZATION,LIVE THEATER/OTHER ENTERTAINMENT PRODUCTIONS,LIVESTOCK,LODGING & TOURISM,MARIJUANA GROWERS & PRODUCT SALES,MILITARY,MINING,MINORITY & DISABILITY GROUPS,MISCELLANEOUS AGRICULTURE,MISCELLANEOUS BUSINESS,MISCELLANEOUS DEFENSE,MISCELLANEOUS ENERGY,MISCELLANEOUS ENERGY & NATURAL RESOURCES,MISCELLANEOUS FINANCE,"MISCELLANEOUS FINANCE, INSURANCE & REAL ESTATE",MISCELLANEOUS MANUFACTURING & DISTRIBUTING,MISCELLANEOUS SERVICES,MISCELLANEOUS TRANSPORT,MOVIE THEATERS,NONE,NONPROFIT INSTITUTIONS,OIL & GAS,OTHER/SINGLE ISSUE GROUPS,PARTY COMMITTEES,PAYDAY/TITLE LOANS,PHARMACEUTICALS & HEALTH PRODUCTS,POULTRY & EGGS,PRINTING & PUBLISHING,PRO-ENVIRONMENTAL POLICY,PUBLIC EDUCATION POLICY,PUBLIC SECTOR UNIONS,RAILROADS,REAL ESTATE,RECORDED MUSIC PRODUCTION,RECREATION & LIVE ENTERTAINMENT,RETAIL SALES,RETIRED,SAVINGS & LOANS,SEA TRANSPORT,SECURITIES & INVESTMENT,SPECIAL TRADE CONTRACTORS,STEEL,TAX ISSUES,TELECOM SERVICES & EQUIPMENT,TOBACCO,TOBACCO COMPANIES & TOBACCO PRODUCT SALES,TRANSPORTATION UNIONS,TRIBAL GOVERNMENTS,TRUCKING,TV & MOVIE PRODUCTION/DISTRIBUTION,WASTE MANAGEMENT,WATER UTILITIES,WELFARE/SOCIAL WORK,WOMEN'S ISSUES
AK,,,,,2,,7,,,,,,,,,3,,,,3,,,4,2,,2,,,1,,,,1,,2,,8,1,,,2,,,,,,1,2,,,,,,,,,,,1,,,,,1,,,3,,,,,,,1,,2,,4,,21,,4,,,,,,1,,,,,10,,,1,,,,1,2,,,,,,,5,1,,,,,
AL,,,,,,6,1,,,4,,,,1,,8,,1,,4,2,9,1,2,,1,,,12,,,,5,,,,45,,,,3,,3,,1,,2,,,,4,3,,4,,1,3,,16,,,,,1,,2,,,,1,1,,1,3,,2,6,2,,33,1,3,,,2,2,,4,,,2,,28,,,5,,,,1,3,,,1,,,,,,3,1,,,
AR,,,,,2,6,2,,,9,,,1,5,3,16,,3,,2,3,7,,1,,1,,,29,3,,,6,,,,49,,,,3,4,5,,,,7,,,,4,3,2,5,,,2,,11,,,,1,7,,3,,,1,2,,1,,3,2,4,3,1,,20,3,7,,,,1,1,2,,,,1,29,1,,7,3,,,2,2,,,1,,,,,2,3,1,,1,
AZ,,,,,,1,,,,,,,,,,,,1,,2,,,,1,,,,,,,1,,19,,,,2,,,,4,1,,,,,1,,,2,5,5,1,,,,2,,3,,1,,,1,,,1,,,,,,,,,,,,,38,,,,,,4,,1,,1,,1,8,,,,1,,,,,,,,,,,1,,1,,,,
CA,1,,,,,,,,,1,,,,1,,10,,,,,,,,2,,,,,3,,,,,,,,5,,,,,,,,,,,,,,2,1,,,,,,,9,,,,,,,,,,,,,,,1,,,,,,87,,3,,,,,,,,,,,3,,,,,,,1,1,,,2,,,,,,,,,,
CO,,,1,,,1,1,,,,,,1,,1,12,1,,2,5,2,2,,,,,,1,6,,1,1,17,,,,30,1,,,5,,,,,,1,,,2,,2,,1,,,3,,5,1,3,,1,3,,5,4,1,,1,,,,4,,,1,,,16,1,5,2,,,,,4,,,1,,30,,2,1,1,,,1,,,,2,,,,,,1,1,,1,
CT,,,,,,,3,,,,1,,2,1,1,11,,,,20,2,4,,,,1,,1,,,,,19,5,2,,22,,,,4,,,,,,3,1,,,3,3,2,3,,,6,3,25,,,,,1,,1,,,,,,2,,,,4,7,,,37,13,1,,,,,,1,2,,2,,39,,1,,9,1,,4,5,,,1,,,,,,,,,1,
DE,,,,,,,,,,,,,,1,,4,,1,,2,1,,,,,1,,,4,,,,7,1,,,8,,,,,3,,,,,,1,1,,,,,,,,3,2,3,,,,,1,,1,,,,1,,,,5,,1,4,,,22,1,,,,,,,1,,,,,13,,,1,6,,,,2,,,,,,,,,1,,,,
FL,,,,,2,,,,,2,,,,,2,9,,,,9,,7,,2,,2,,,4,,,,15,,,,53,,,,,1,,,,,4,,,1,8,8,3,5,,,11,,36,,,,1,,,,,,,,,,,3,1,,2,,,21,2,1,,,,,,3,2,1,,,36,,1,,1,,,6,2,,,2,,1,,,,,1,,1,
GA,,1,,,3,3,8,,,5,,2,2,3,1,35,,,,4,7,7,,11,,5,,,17,,1,,9,,,1,3,2,,,9,3,5,,,,5,2,,,8,5,2,6,,,20,2,45,,,,,,,,,,,2,,,,6,1,7,6,,,38,2,,,,1,,,3,,,,,90,,4,6,,,,13,4,,1,2,,,,,4,,3,,,1
HI,,,,,1,1,,,,,,,,,,8,,,,1,,2,,,1,,,,2,,,,5,,1,,,,,,2,9,,,,,,1,,,3,,,1,,,1,1,9,,,,,1,,1,,,,1,,,,2,,1,2,1,,29,5,1,,,,,,,,,1,,16,,1,1,,,,,,,,1,,,,,,,1,,,
IA,,,,,,2,,,,2,1,,,2,1,10,,1,,10,,2,,4,,,,,41,,,,17,,1,,3,,,,2,,,,,,1,,,,4,1,,1,,,4,,12,,,,1,,,1,,,,3,,1,,2,,1,3,1,,19,3,,1,,,2,,2,1,,1,1,10,,2,3,15,,,,7,1,,1,,,,,3,1,,,9,1
IL,,,,,2,1,,,,,,,,3,,15,1,1,,16,,3,,3,,,,,10,1,,,3,,,,8,1,,,1,1,,,,,2,1,,,,,,2,,1,5,,37,,,,,3,,,,,,,,,,4,,1,1,,,60,2,1,,1,,1,,2,,,,,22,,,,3,,,2,5,,,,,,,,1,,1,,,
IN,,,,,,1,,,,2,,,,1,,13,,1,,4,2,5,,1,,,,,13,,,,10,,,,51,,1,,5,,,,,,1,,,1,2,2,5,7,,,4,,22,,,,2,3,,2,1,,,2,,,,6,,5,6,2,1,13,6,1,,,,2,,2,,,,,36,,1,9,11,,,5,5,1,,,,,,,3,,,,,
KS,,,,,1,7,3,,,6,,,1,,1,23,,,,17,2,3,,4,1,3,,,35,,,,16,1,1,1,,1,,,3,2,,,,,3,,,,3,1,1,2,,2,3,2,16,,,,1,2,,,,,,1,,,,7,,3,3,,,28,5,3,,,,1,,2,,,,,45,,1,6,7,,,16,5,,,1,,,,,1,,,,1,
KY,,,,,,4,,,,5,1,,,4,,13,,,,7,2,14,,2,,,,,31,,,,17,,1,,25,,,,,1,,,,,4,1,,,1,2,3,3,,,11,1,31,,,,2,2,,1,3,,,,,1,,1,1,3,3,,,16,1,1,,1,1,,,1,,,,1,52,,,4,,,,1,2,1,,,,1,1,,3,1,,,2,
LA,,,,,2,2,,,,3,1,1,,8,,10,,,,1,2,10,1,1,,3,,,15,,,,8,,1,,36,,,,3,5,2,3,,,4,1,,,7,7,3,4,,2,8,3,47,,,2,,3,,2,,,,6,,,,3,,1,5,,,14,,11,,,,2,,2,,,,,80,,2,11,,,6,3,3,,,,,,,,3,5,,,,
MA,,,,,1,,2,,,1,,,,,1,8,,,,10,1,1,,1,,2,,,2,,,,9,,,,4,,,,4,,,1,,,1,,,,1,5,,2,,,8,,32,,,,,1,,6,,,,1,,,,2,,1,7,2,,90,1,1,,,,,,2,,,,,15,,2,2,,,,2,5,,,1,,,,,1,1,,,,
MD,,,,,1,,1,,,2,,,,1,,14,,,,17,2,4,,5,2,1,,,2,,1,,17,,,,14,1,,,2,,,,,,1,3,,,1,4,1,3,,,5,,28,,1,,,,,,,,,1,,2,,5,,,3,1,,52,7,,,,1,,,,,,,,39,,,3,1,,,2,6,,,1,,1,,,,1,,,2,
ME,,,,,,2,1,,,4,,,,,1,10,,,,11,,,1,1,,1,,1,9,,,,15,25,,,9,,,,9,1,3,1,1,,5,,,,,4,,,,,2,,6,,,,,9,,1,,,,1,,1,,1,,4,5,1,,24,9,,,,,2,,2,,,,1,16,,3,8,24,,,,8,,,1,,,,,,,,,1,
MN,,,,1,,1,2,,,2,,1,,4,,15,,,,16,1,4,,3,,1,,,6,,,,25,1,,,10,,,,4,,2,,,1,,2,,,1,2,1,1,,,8,,18,,,,1,5,,4,,,,,,,,3,,5,5,2,,63,4,,,,,1,,,1,1,1,,25,,1,4,3,,,,2,,,,,,,1,1,,,,2,1
MO,,,,,4,5,1,,,4,,1,1,3,,14,,,,7,4,5,,5,,3,,1,19,,,,6,,2,,46,,,,4,2,,,,,4,4,,,3,7,,5,,,7,,26,,,,1,,,1,,,,3,,2,,5,,4,6,1,,40,1,,,,,4,,,,,1,,33,,6,5,13,,,4,5,,,4,,,,,2,,,,,
MS,,,,,1,1,1,,,6,,,,1,,10,,,,32,8,4,,1,,4,,1,20,,,,11,,3,,38,1,,,4,4,3,,,,4,,,,3,6,1,1,,1,14,2,46,,,,1,3,,2,,,,,,,,2,,1,10,1,,34,1,4,,,,2,,2,,,,,47,,,4,,1,,6,2,,,,,,,1,1,,,1,1,
MT,,,,,,5,1,1,,1,,,1,1,2,6,,,,11,3,2,,2,,1,1,,29,1,,,13,,1,1,62,,,,4,4,1,,,,2,,,,2,1,1,3,,1,2,,14,,,,3,3,,,1,,,1,,1,2,2,,1,3,3,,23,1,2,3,,,2,,1,3,,4,,20,,2,1,1,,,,1,,,,,,,2,2,5,,,,
NC,,,,,,5,1,,,4,,,1,1,,8,,,,9,6,8,,2,1,5,,2,9,,1,,17,,2,,62,2,,,4,2,2,,,,7,,1,,3,9,,2,,,8,1,29,,,,1,1,,4,,1,,,1,1,,5,2,6,6,1,,31,1,1,,,,2,1,1,,,,,66,,,3,4,,,,4,,,1,,,,,,2,,,,
ND,,,,,,8,1,,,3,,,1,2,,4,,1,,2,,4,,1,,1,,1,26,,,,8,,2,,26,,,,3,2,,,,,4,,,1,3,4,,3,,1,7,3,8,,,,,3,,,,,,3,,1,,6,,1,4,2,,10,4,1,,,,,,3,,,,,29,,1,8,24,,,4,4,2,,1,,,,,1,,1,1,,
NE,,,,,,9,1,,,,,,1,,,6,,,,1,,4,,6,,,,,12,,,,7,,,,10,,,,1,1,,1,,,,,,,,4,,,,,2,,4,,,,,,,,,,,,1,1,,1,,1,1,,,4,2,,2,,,,,,,,,,7,,2,,4,,,3,1,,,,,,,,,,,,3,
NH,,,,,,1,5,,,7,,,1,,,16,6,,,27,2,4,,11,,1,,1,5,,4,1,38,7,5,,39,2,,,10,,,,,,3,2,,3,9,9,,15,,,6,,11,,,,,3,1,2,,,,1,,,,5,2,7,5,1,,150,5,1,,,,4,1,1,,,1,1,27,,2,6,53,,,11,5,,,5,2,,,,,,,1,1,
NJ,,,,,,,1,,,,,,,,,9,,,,30,1,3,,,,,,,1,,,,9,,1,,18,,,,,,,,,,2,4,,,5,7,,2,,,4,1,30,,,,,,,,,,,,,,,1,,,3,,,17,,,,,,,,3,,,,,9,,,,2,,,6,1,,,4,,,,,,1,,,,
NM,,,,,,2,,,,,,,,,,4,,,,2,1,1,,1,,,,,6,1,,,8,,,,19,,,1,1,,,,,,1,,,,2,1,1,1,1,,3,,15,,1,,,,,,2,,,1,3,,,,,,,,,33,,2,,,,,,,1,,,,11,,1,,,,,,,,,,,,,2,,1,,1,,
NV,,,,,,,,,,,,,,2,,1,,,,8,,,,1,,,,1,2,,,,9,9,,,22,,,,,1,,2,,,,1,,,3,2,,1,,,1,,12,,,1,,,,2,,,,,1,,,,,3,1,,,3,1,,,,,,,1,,,,,22,,1,,13,,,1,5,,,,,,,,,,,,,
NY,,,,,,1,,,,,1,1,,2,1,9,,,,3,4,4,,,,1,,,,,,,12,,,,9,,,,5,,,,,,1,1,,,,1,2,,,,6,,53,,,,,,,1,,,,,,1,,4,,1,2,,,109,4,,,,,,,4,,,,,21,,1,1,,,,3,,,,,,,,,,3,,,,
OH,,,,,2,1,,,1,5,,,,1,,5,,,,5,5,,,3,,2,,,3,,,,9,,,,27,,,,2,2,,,,,2,1,,,2,4,,1,,,5,2,29,,,,,1,,1,,,,,,,,3,,6,3,,,26,3,3,,1,,,,6,,,1,,18,1,4,4,17,,,5,1,,,1,,,,,2,1,,,1,
OK,,,,,,6,,,,2,1,,,,1,3,,,,3,6,5,,4,,,,1,15,,,,2,,,,17,,,,1,1,,,,,2,,,,4,5,3,,,1,7,,16,,,,,1,,2,,,,,,,,6,,,3,,,35,2,5,,,,2,,1,,,1,,8,,1,2,1,,,1,3,,,1,,,,2,,1,,,,
OR,,,,,1,,,,,,,,,1,,4,,,,2,1,,,1,,,,,7,,1,,4,,,,21,,,,1,,,,,,3,2,,2,2,,1,1,,,,,7,,,1,,,,1,,,,,,,,,,1,,,,38,,,,,,,,,,,,,5,,2,,,,,,2,,,,,,,,,1,,,,
PA,,,,,5,1,1,,,3,,1,,1,1,6,,,1,16,2,13,,,,1,,5,5,,,,22,3,2,,49,1,,,9,1,,4,,,1,4,,,,1,,5,,,17,,37,,,,,3,,4,,,,,,1,,20,1,3,4,1,,89,7,6,,,,,2,2,,,,,54,,2,4,8,3,,13,4,,,,1,,,,1,5,1,1,,
RI,,,,,,,,,,2,,2,1,,,5,,,,22,,1,,2,,2,,1,1,,,2,12,,,,7,,,,5,,,,,,2,4,,,2,3,,1,,,3,,23,,,,,,,1,,,,,,,,1,,2,4,,,15,3,1,,,,1,,1,1,,2,,8,,,2,2,,,,3,,,,,,,,,,,,,
SC,,,,,,1,1,,,,,,,3,,11,1,,,40,,,,,,1,,,1,2,,,9,2,,,15,1,,,1,,,,,,2,,,,5,4,1,1,,,5,4,30,,,,,1,,1,,,,,,,,2,,2,1,1,,74,1,,,,,4,,,,,,,31,,,5,12,,1,1,1,,,,,,,,,,,2,,
SD,,,,,3,1,,,,1,,,1,,,5,,,,4,,5,,,,,,,19,1,,,6,2,2,,14,,,,3,,1,,,1,,,,,5,1,1,7,,,6,4,6,,,,2,1,,1,,,,1,,2,,2,,2,2,,,32,2,,,,,,,,,,,,20,,3,2,8,,,2,1,,,,,,,,,,,,,
TN,,,,,1,1,1,,,4,1,,1,1,,7,,,,6,5,15,,1,,,,,17,,,,5,,,,39,,1,,4,1,,,,,5,,,,9,6,,5,,,19,,13,,,,,2,,1,,,,4,1,,,3,2,5,3,,,25,,,,,,4,,6,,,,,20,,,4,,,,1,2,,,,,,,,4,6,,1,1,
TX,,,,,2,5,,,,1,,2,,2,,28,,1,1,1,4,9,,2,,4,,,6,,,,2,,,,37,1,,,4,,2,,,,1,,,,7,2,,1,,,13,2,68,,,,,,,4,,,,2,,1,,5,,3,,1,,24,5,10,,,1,1,,3,,,,,37,,3,4,1,,,9,1,,,,,,,,1,5,,,,
UT,,,,,1,1,,,,1,,,,1,,10,,,,5,1,5,1,4,,1,,,4,,,,8,,,,19,1,,,,,,,,,,,,,4,2,3,5,,,2,1,9,,,,,3,,,,,,1,,1,,2,,1,1,,,13,2,1,,,,1,,1,1,,,,27,,4,3,,,,1,1,,2,3,,,,,2,1,,2,,
VA,,,,,,2,1,,,3,,1,,2,,17,,,,3,2,6,,3,,,,,2,,,,14,2,,,19,,,1,5,,,,,,1,,,,3,5,3,1,,,4,,41,,,,,,,2,,,,,,,,1,,2,5,1,,30,5,3,,,,1,,,,,1,,15,,,7,7,,3,2,,,,2,,,,,1,,,,,
WA,,,,,,,2,,,1,,,1,,,18,,,,10,,,,1,1,,,1,6,2,,,16,,1,,15,,,,9,,2,,,,1,1,,1,2,4,1,2,,,3,,12,,,,,2,,3,,,,,,1,,2,,3,2,,,55,1,,,,,,,1,1,,,,7,,3,,1,,,2,2,,,,,,,,,,,,,1
WI,,,,,3,9,1,,,5,1,,,,,11,,,,24,2,6,,2,1,,,1,15,4,,,26,9,1,,2,,,,13,3,,1,,,2,,,,3,8,,4,,,5,,12,,,,,4,,2,,,,,,,,,,7,6,2,,18,1,1,,,,,,2,,,,,65,,2,8,6,,1,3,5,,,,,,,,2,2,,1,1,
WV,,,,,,1,2,,,4,,1,,2,2,5,,,,9,4,8,,1,1,3,,,12,,,,9,,,,54,,,,1,4,1,,,,,2,,,7,7,3,6,,,10,,24,,,,,,,1,4,,,,,1,,3,2,4,6,,,16,,7,,,,,3,,,,,1,23,,,3,,,,2,2,,,4,,,1,,3,,,,,
WY,,,,,,1,1,,,1,,,,,,2,,,,4,1,,,,,1,,,10,,,,8,,1,,19,,,,1,2,,,,,,1,,,,,,1,,,1,,9,,,,2,,,,2,,,,,,,,,3,,1,,30,1,1,,,,,,1,,,,2,2,,,3,,,,,1,,,,,,,,,,,,,